iter	Logloss
0	0.6876719972
1	0.6808499275
2	0.6762671176
3	0.6701705036
4	0.6658796009
5	0.6634447634
6	0.6611471886
7	0.6562792384
8	0.6518679239
9	0.6467260455
10	0.6418465517
11	0.6386719285
12	0.6347607705
13	0.6297288216
14	0.6280680024
15	0.6252144108
16	0.6196671794
17	0.6171452341
18	0.6139629152
19	0.610826837
20	0.6088928857
21	0.6059212706
22	0.6019291747
23	0.5994815331
24	0.5951061099
25	0.5929643737
26	0.5900026438
27	0.5851464362
28	0.5831851517
29	0.5810712131
30	0.5746328023
31	0.5725809603
32	0.5700692318
33	0.5676538989
34	0.5650965931
35	0.5641453738
36	0.5622345096
37	0.5571905527
38	0.5548505186
39	0.5535142472
40	0.5526781654
41	0.5502958711
42	0.5476240912
43	0.5445609899
44	0.5427990979
45	0.5416102064
46	0.5379198363
47	0.5357501036
48	0.5335415604
49	0.5294759901
50	0.5284335498
51	0.5270053608
52	0.5227225187
53	0.520523164
54	0.5196709941
55	0.5174976125
56	0.5160634195
57	0.5155734135
58	0.5128278939
59	0.5113547246
60	0.5084603323
61	0.5075587372
62	0.5055137616
63	0.5030864539
64	0.5018497295
65	0.5002870973
66	0.4991197672
67	0.4978446968
68	0.4954354343
69	0.4929369079
70	0.4901181461
71	0.4864858589
72	0.4844801913
73	0.482207893
74	0.4812701412
75	0.4798499464
76	0.4771140133
77	0.4758808714
78	0.4731628175
79	0.4719791339
80	0.4700229247
81	0.4681353799
82	0.467197031
83	0.4657284394
84	0.4639602449
85	0.461272974
86	0.4589517812
87	0.4563570914
88	0.4531760661
89	0.4523597212
90	0.4487665429
91	0.4478608346
92	0.4470173887
93	0.4465084419
94	0.4448758515
95	0.4422755226
96	0.4412064789
97	0.4388826324
98	0.4381260621
99	0.436862104
100	0.4343104373
101	0.433120617
102	0.4313508966
103	0.4295408731
104	0.4272129134
105	0.4249477138
106	0.4226946548
107	0.4215430147
108	0.4202791561
109	0.4188998284
110	0.4171088784
111	0.4150099995
112	0.4133323957
113	0.4107006535
114	0.4099084241
115	0.4086054898
116	0.4073507533
117	0.4048704048
118	0.4023389726
119	0.4004051871
120	0.3993592306
121	0.3979455042
122	0.397092306
123	0.3938349205
124	0.3911736559
125	0.3887753731
126	0.3868757209
127	0.3832554748
128	0.3821973777
129	0.3797873523
130	0.3780342175
131	0.376823632
132	0.3726619645
133	0.3707769076
134	0.368329067
135	0.3655121959
136	0.3642879439
137	0.3630624645
138	0.3612510478
139	0.3596642669
140	0.3590611469
141	0.3547661309
142	0.3514286037
143	0.3492305095
144	0.3474219787
145	0.3454997036
146	0.3437743664
147	0.3417023562
148	0.3409691384
149	0.3382752665
150	0.336168725
151	0.335246232
152	0.3343296103
153	0.3324698631
154	0.3294264654
155	0.3278494701
156	0.3266799507
157	0.3251197068
158	0.3236437844
159	0.3220534873
160	0.3204712841
161	0.3183434799
162	0.3165684189
163	0.3144446947
164	0.3123468441
165	0.3099920157
166	0.3075049666
167	0.3051607529
168	0.3024882764
169	0.300991257
170	0.2995725218
171	0.2985237126
172	0.2970482877
173	0.2964210854
174	0.2940515621
175	0.2934529202
176	0.2924408647
177	0.2911356416
178	0.2898898614
179	0.2876883174
180	0.2857980858
181	0.2839454041
182	0.2828399383
183	0.2812540199
184	0.2807284543
185	0.2785394491
186	0.2743319555
187	0.2738490316
188	0.2714342295
189	0.269656067
190	0.2680944797
191	0.2662012461
192	0.2646174341
193	0.2632188836
194	0.2617418333
195	0.259590494
196	0.2573856329
197	0.2553747574
198	0.2545979858
199	0.2528834624
